,author,title,sentence,sentence_nr,words,kind
226,"Christie, Agatha",The Mysterious Affair at Styles,The only fly in the ointment of my peaceful days was Mrs Cavendishs extraordinary and for my part unaccountable preference for the society of Dr Bauerstein,354,Dr Bauerstein,person
227,"Christie, Agatha",The Mysterious Affair at Styles,The only fly in the ointment of my peaceful days was Mrs Cavendishs extraordinary and for my part unaccountable preference for the society of Dr Bauerstein,354,Mary Cavendish,person
228,"Christie, Agatha",The Mysterious Affair at Styles,The famous bazaar had taken place on Saturday and an entertainment in connection with the same charity at which Mrs Inglethorp was to recite a War poem was to be held that night,359,Mrs Inglethorp,person
230,"Christie, Agatha",The Mysterious Affair at Styles,I noticed that Johns manner was somewhat unusual,362,John Cavendish,person
232,"Christie, Agatha",The Mysterious Affair at Styles,After tea Mrs Inglethorp went to lie down to rest before her efforts in the evening and I challenged Mary Cavendish to a single at tennis,364,Mary Cavendish,person
233,"Christie, Agatha",The Mysterious Affair at Styles,After tea Mrs Inglethorp went to lie down to rest before her efforts in the evening and I challenged Mary Cavendish to a single at tennis,364,Mary Cavendish,person
234,"Christie, Agatha",The Mysterious Affair at Styles,After tea Mrs Inglethorp went to lie down to rest before her efforts in the evening and I challenged Mary Cavendish to a single at tennis,364,Mrs Inglethorp,person
236,"Christie, Agatha",The Mysterious Affair at Styles,About a quarter to seven Mrs Inglethorp called us that we should be late as supper was early that night,365,Mrs Inglethorp,person
238,"Christie, Agatha",The Mysterious Affair at Styles,The entertainment was a great success Mrs Inglethorps recitation receiving tremendous applause,367,Mrs Inglethorp,person
240,"Christie, Agatha",The Mysterious Affair at Styles,There were also some tableaux in which Cynthia took part,368,Cynthia Murdoch,person
241,"Christie, Agatha",The Mysterious Affair at Styles,The following morning Mrs Inglethorp stayed in bed to breakfast as she was rather overtired but she appeared in her briskest mood about 1230 and swept Lawrence and myself off to a luncheon party,370,Lawrence Cavendish,person
242,"Christie, Agatha",The Mysterious Affair at Styles,The following morning Mrs Inglethorp stayed in bed to breakfast as she was rather overtired but she appeared in her briskest mood about 1230 and swept Lawrence and myself off to a luncheon party,370,Mrs Inglethorp,person
244,"Christie, Agatha",The Mysterious Affair at Styles,Mary had excused herself on the plea of an engagement with Dr Bauerstein,374,Mary Cavendish,person
245,"Christie, Agatha",The Mysterious Affair at Styles,Mary had excused herself on the plea of an engagement with Dr Bauerstein,374,Dr Bauerstein,person
246,"Christie, Agatha",The Mysterious Affair at Styles,We had a pleasant luncheon and as we drove away Lawrence suggested that we should return by Tadminster which was barely a mile out of our way and pay a visit to Cynthia in her dispensary,375,Lawrence Cavendish,person
247,"Christie, Agatha",The Mysterious Affair at Styles,We had a pleasant luncheon and as we drove away Lawrence suggested that we should return by Tadminster which was barely a mile out of our way and pay a visit to Cynthia in her dispensary,375,Cynthia Murdoch,person
248,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp replied that this was an excellent idea but as she had several letters to write she would drop us there and we could come back with Cynthia in the ponytrap,376,Cynthia Murdoch,person
249,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp replied that this was an excellent idea but as she had several letters to write she would drop us there and we could come back with Cynthia in the ponytrap,376,Mrs Inglethorp,person
251,"Christie, Agatha",The Mysterious Affair at Styles,We were detained under suspicion by the hospital porter until Cynthia appeared to vouch for us looking very cool and sweet in her long white overall,377,Cynthia Murdoch,person
252,"Christie, Agatha",The Mysterious Affair at Styles,She took us up to her sanctum and introduced us to her fellow dispenser a rather aweinspiring individual whom Cynthia cheerily addressed as Nibs,378,Cynthia Murdoch,person
253,"Christie, Agatha",The Mysterious Affair at Styles,Do you really know whats in them all  Say something original groaned Cynthia,381,Cynthia Murdoch,person
254,"Christie, Agatha",The Mysterious Affair at Styles,No Lawrencethats the poison cupboard,389,Lawrence Cavendish,person
255,"Christie, Agatha",The Mysterious Affair at Styles,We had a very cheery tea and assisted Cynthia to wash up afterwards,391,Cynthia Murdoch,person
256,"Christie, Agatha",The Mysterious Affair at Styles,The countenances of Cynthia and Nibs were suddenly petrified into a stern and forbidding expression,393,Cynthia Murdoch,person
257,"Christie, Agatha",The Mysterious Affair at Styles,The countenances of Cynthia and Nibs were suddenly petrified into a stern and forbidding expression,393,Stern,person
258,"Christie, Agatha",The Mysterious Affair at Styles,Come in said Cynthia in a sharp professional tone,394,Cynthia Murdoch,person
259,"Christie, Agatha",The Mysterious Affair at Styles,A young and rather scared looking nurse appeared with a bottle which she proffered to Nibs who waved her towards Cynthia with the somewhat enigmatical remark   I m not really here today,395,Cynthia Murdoch,person
260,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia took the bottle and examined it with the severity of a judge,396,Cynthia Murdoch,person
261,"Christie, Agatha",The Mysterious Affair at Styles,So now it cant be done until tomorrow finished Cynthia,402,Cynthia Murdoch,person
263,"Christie, Agatha",The Mysterious Affair at Styles,Well said Cynthia graciously we are very busy but if we have time it shall be done,404,Cynthia Murdoch,person
264,"Christie, Agatha",The Mysterious Affair at Styles,The little nurse withdrew and Cynthia promptly took a jar from the shelf refilled the bottle and placed it on the table outside the door,405,Cynthia Murdoch,person
265,"Christie, Agatha",The Mysterious Affair at Styles,I followed Cynthia and her friend and they pointed out the different wards to me,411,Cynthia Murdoch,person
266,"Christie, Agatha",The Mysterious Affair at Styles,Lawrence remained behind but after a few moments Cynthia called to him over her shoulder to come and join us,412,Lawrence Cavendish,person
267,"Christie, Agatha",The Mysterious Affair at Styles,Lawrence remained behind but after a few moments Cynthia called to him over her shoulder to come and join us,412,Cynthia Murdoch,person
268,"Christie, Agatha",The Mysterious Affair at Styles,I had seen Lawrence in quite a different light that afternoon,416,Lawrence Cavendish,person
269,"Christie, Agatha",The Mysterious Affair at Styles,Compared to John he was an astoundingly difficult person to get to know,417,John Cavendish,person
271,"Christie, Agatha",The Mysterious Affair at Styles,I had always fancied that his manner to Cynthia was rather constrained and that she on her side was inclined to be shy of him,420,Cynthia Murdoch,person
273,"Christie, Agatha",The Mysterious Affair at Styles,Mon ami  Hastings he cried,426,Arthur Hastings,person
274,"Christie, Agatha",The Mysterious Affair at Styles,It is indeed  mon ami  Hastings  Poirot,427,Arthur Hastings,person
275,"Christie, Agatha",The Mysterious Affair at Styles,It is indeed  mon ami  Hastings  Poirot,427,Hercule Poirot,person
276,"Christie, Agatha",The Mysterious Affair at Styles,This is a very pleasant meeting for me Miss Cynthia,430,Cynthia Murdoch,person
277,"Christie, Agatha",The Mysterious Affair at Styles,This is my old friend Monsieur Poirot whom I have not seen for years,431,Hercule Poirot,person
279,"Christie, Agatha",The Mysterious Affair at Styles,Oh we know Monsieur Poirot said Cynthia gaily,432,Cynthia Murdoch,person
281,"Christie, Agatha",The Mysterious Affair at Styles,Oh we know Monsieur Poirot said Cynthia gaily,432,Hercule Poirot,person
282,"Christie, Agatha",The Mysterious Affair at Styles,Yes indeed said Poirot seriously,434,Hercule Poirot,person
283,"Christie, Agatha",The Mysterious Affair at Styles,I know Mademoiselle Cynthia,435,Cynthia Murdoch,person
285,"Christie, Agatha",The Mysterious Affair at Styles,It is by the charity of that good Mrs Inglethorp that I am here,436,Mrs Inglethorp,person
287,"Christie, Agatha",The Mysterious Affair at Styles,Poirot was an extraordinary looking little man,439,Hercule Poirot,person
288,"Christie, Agatha",The Mysterious Affair at Styles,Then he raised his hat with a flourish to Cynthia and we drove away,448,Cynthia Murdoch,person
289,"Christie, Agatha",The Mysterious Affair at Styles,Hes a dear little man said Cynthia,449,Cynthia Murdoch,person
290,"Christie, Agatha",The Mysterious Affair at Styles,And for the rest of the way home I recited to them the various exploits and triumphs of Hercule Poirot,452,Hercule Poirot,person
291,"Christie, Agatha",The Mysterious Affair at Styles,As we entered the hall Mrs Inglethorp came out of her boudoir,454,Mrs Inglethorp,person
293,"Christie, Agatha",The Mysterious Affair at Styles,Is there anything the matter Mrs Inglethorp asked Cynthia,457,Cynthia Murdoch,person
294,"Christie, Agatha",The Mysterious Affair at Styles,Is there anything the matter Mrs Inglethorp asked Cynthia,457,Mrs Inglethorp,person
295,"Christie, Agatha",The Mysterious Affair at Styles,Is there anything the matter Mrs Inglethorp asked Cynthia,457,Mrs Inglethorp,person
296,"Christie, Agatha",The Mysterious Affair at Styles,Certainly not said Mrs Inglethorp sharply,458,Mrs Inglethorp,person
298,"Christie, Agatha",The Mysterious Affair at Styles,What should there be Then catching sight of Dorcas the parlourmaid going into the diningroom she called to her to bring some stamps into the boudoir,459,Dorcas,person
299,"Christie, Agatha",The Mysterious Affair at Styles,Perhaps youre right Dorcasyesnonot now,462,Dorcas,person
300,"Christie, Agatha",The Mysterious Affair at Styles,She went into the boudoir again and Cynthia stared after her,465,Cynthia Murdoch,person
301,"Christie, Agatha",The Mysterious Affair at Styles,I wonder whats up she said to Lawrence,467,Lawrence Cavendish,person
302,"Christie, Agatha",The Mysterious Affair at Styles,I suggested a quick game of tennis before supper and Cynthia agreeing I ran upstairs to fetch my racquet,469,Cynthia Murdoch,person
303,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Cavendish was coming down the stairs,470,Mary Cavendish,person
304,"Christie, Agatha",The Mysterious Affair at Styles,Had a good walk with Dr Bauerstein,472,Dr Bauerstein,person
305,"Christie, Agatha",The Mysterious Affair at Styles,Where is Mrs Inglethorp  In the boudoir,475,Mrs Inglethorp,person
307,"Christie, Agatha",The Mysterious Affair at Styles,Mary Cavendish was saying in the voice of a woman desperately controlling herself  Then you wont show it to me  To which Mrs Inglethorp replied  My dear Mary it has nothing to do with that matter,478,Mary Cavendish,person
308,"Christie, Agatha",The Mysterious Affair at Styles,Mary Cavendish was saying in the voice of a woman desperately controlling herself  Then you wont show it to me  To which Mrs Inglethorp replied  My dear Mary it has nothing to do with that matter,478,Mary Cavendish,person
